date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-04-07,2.6483737246139825,0.982,0.5,Calibration
1950-04-08,1.2769941209175777,0.974,1.7,Calibration
1950-04-09,0.9824326204807579,0.962,1.0,Calibration
1950-04-10,0.6319796724381285,0.943,0.0,Calibration
1950-04-11,0.5639330947577817,0.924,0.0,Calibration
1950-04-12,0.540993829434969,0.905,0.0,Calibration
1950-04-13,0.5200485578986225,0.887,0.0,Calibration
1950-04-14,0.49764553856474797,0.869,0.0,Calibration
1950-04-15,28.733776127794872,5.041,34.0,Calibration
1950-04-16,4.42399697405523,0.912,1.8,Calibration
1950-04-17,0.8874506688571293,0.894,0.0,Calibration
1950-04-18,0.96321448890242,0.886,1.5,Calibration
1950-04-19,25.530367513361497,7.335,29.8,Calibration
1950-04-20,14.348762358736643,3.925,14.0,Calibration
1950-04-21,2.1681822886764515,0.965,0.7,Calibration
1950-04-22,1.0389672954598062,0.957,1.3,Calibration
1950-04-23,9.671126074468797,2.399,11.5,Calibration
1950-04-24,3.2730896561001654,1.009,3.2,Calibration
1950-04-25,21.844805290900023,7.985,25.5,Calibration
1950-04-26,5.463857084246361,1.069,3.9,Calibration
1950-04-27,17.088402490916252,6.854,20.0,Calibration
1950-04-28,3.215380655904904,1.109,2.0,Calibration
1950-04-29,22.769008479201922,9.868,26.29,Calibration
1950-04-30,25.378023209639302,11.63,27.0,Calibration
1950-05-01,5.974777281392169,1.211,4.0,Calibration
1950-05-02,1.8747784047158205,1.207,2.0,Calibration
1950-05-03,3.231593690242499,1.217,3.5,Calibration
1950-05-04,1.2148306212756386,1.202,1.0,Calibration
1950-05-05,9.86880098968153,3.026,11.7,Calibration
1950-05-06,4.241087981024188,1.252,4.0,Calibration
1950-05-07,12.097276108622838,4.044,14.2,Calibration
1950-05-08,4.58991870583602,1.302,4.1,Calibration
1950-05-09,18.892939496648577,7.446,22.0,Calibration
1950-05-10,3.5901604051070732,1.332,2.0,Calibration
1950-05-11,8.849710912587701,2.607,10.0,Calibration
1950-05-12,1.8879443350634255,1.342,0.0,Calibration
1950-05-13,3.703711492372927,1.353,4.5,Calibration
1950-05-14,23.6470055560577,9.245,27.5,Calibration
1950-05-15,21.870479385996227,9.103,22.7,Calibration
1950-05-16,3.584539156494741,1.412,1.3,Calibration
1950-05-17,3.3903997964499126,1.417,3.5,Calibration
1950-05-18,3.9225656417452552,1.43,4.5,Calibration
1950-05-19,16.471149079089223,6.662,19.2,Calibration
